SCIENTIFIC;OBSERVATIO;EVENT COUN;COUNTRY;LOCALITY_ID;LATITUDE;LONGITUDE;DD;MM;YY;CodZVid2;ZonVida2;Leyenda;SRTM_W_250
Hylocichla mustelina;1;1;Belize;330898;17.26151;-88.78712;7;3;2002;bh-S;Bosque Humedo Subtropical;bh-S - Bosque Húmedo Subtropical;44
Hylocichla mustelina;1;1;Belize;623673;17.15236;-89.07414;5;3;2002;bh-S;Bosque Humedo Subtropical;bh-S - Bosque Húmedo Subtropical;111
Hylocichla mustelina;6;1;Belize;2021318;17.09774;-88.97438;13;1;2005;bh-S;Bosque Humedo Subtropical;bh-S - Bosque Húmedo Subtropical;231
Hylocichla mustelina;2;1;Belize;2021318;17.09774;-88.97438;30;12;2007;bh-S;Bosque Humedo Subtropical;bh-S - Bosque Húmedo Subtropical;231
Hylocichla mustelina;4;1;Belize;2021318;17.09774;-88.97438;26;12;2009;bh-S;Bosque Humedo Subtropical;bh-S - Bosque Húmedo Subtropical;231
Hylocichla mustelina;1;1;Belize;280864;17.5389;-89.1119;29;9;1995;bh-S;Bosque Humedo Subtropical;bh-S - Bosque Húmedo Subtropical;151
Hylocichla mustelina;1;1;Belize;280864;17.5389;-89.1119;3;1;2004;bh-S;Bosque Humedo Subtropical;bh-S - Bosque Húmedo Subtropical;151
Hylocichla mustelina;1;1;Belize;4226112;17.53962;-89.08524;24;2;2008;bh-S;Bosque Humedo Subtropical;bh-S - Bosque Húmedo Subtropical;165
Hylocichla mustelina;1;1;Costa Rica;468901;9.83193;-83.5638;23;2;2005;bmh-P;Bosque Muy Humedo Premontano;bmh-P - Bosque Muy Humedo Premontano;963
Hylocichla mustelina;1;1;Costa Rica;468901;9.83193;-83.5638;21;2;2005;bmh-P;Bosque Muy Humedo Premontano;bmh-P - Bosque Muy Humedo Premontano;963
Hylocichla mustelina;1;1;Costa Rica;436195;10.4288;-84.0128;5;2;2012;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;53
Hylocichla mustelina;3;1;Costa Rica;436195;10.4288;-84.0128;22;10;2012;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;53
Hylocichla mustelina;7;1;Costa Rica;2371718;10.17366;-83.91337;22;12;2002;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;538
Hylocichla mustelina;5;1;Costa Rica;2371718;10.17366;-83.91337;22;12;2003;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;538
Hylocichla mustelina;1;1;Costa Rica;2371718;10.17366;-83.91337;16;12;2004;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;538
Hylocichla mustelina;1;1;Costa Rica;2371718;10.17366;-83.91337;15;12;2005;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;538
Hylocichla mustelina;7;1;Costa Rica;2371718;10.17366;-83.91337;14;12;2006;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;538
Hylocichla mustelina;12;1;Costa Rica;2371718;10.17366;-83.91337;18;12;2007;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;538
Hylocichla mustelina;10;1;Costa Rica;2371718;10.17366;-83.91337;17;12;2008;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;538
Hylocichla mustelina;6;1;Costa Rica;2371718;10.17366;-83.91337;17;12;2009;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;538
Hylocichla mustelina;5;1;Costa Rica;2371718;10.17366;-83.91337;21;12;2010;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;538
Hylocichla mustelina;7;1;Costa Rica;2371718;10.17366;-83.91337;21;12;2011;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;538
Hylocichla mustelina;8;1;Costa Rica;2371718;10.17366;-83.91337;28;12;2012;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;538
Hylocichla mustelina;2;1;Costa Rica;2371718;10.17366;-83.91337;19;12;2013;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;538
Hylocichla mustelina;12;1;Costa Rica;2371718;10.17366;-83.91337;5;1;2015;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;538
Hylocichla mustelina;1;1;Costa Rica;2371718;10.17366;-83.91337;19;12;2015;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;538
Hylocichla mustelina;2;1;Costa Rica;311635;10.30702;-84.80974;26;2;2005;bmh-P;Bosque Muy Humedo Premontano;bmh-P - Bosque Muy Humedo Premontano;1440
Hylocichla mustelina;1;1;Costa Rica;311635;10.30702;-84.80974;24;2;2005;bmh-P;Bosque Muy Humedo Premontano;bmh-P - Bosque Muy Humedo Premontano;1440
Hylocichla mustelina;1;1;Costa Rica;2319202;9.78713;-84.92597;4;3;2005;bh-T;Bosque Humedo Tropical;bh-T - Bosque Húmedo Tropical;21
Hylocichla mustelina;20;1;Guatemala;452907;17.22248;-89.62307;8;1;2011;bh-S;Bosque Humedo Subtropical;bh-S - Bosque Húmedo Subtropical;307
Hylocichla mustelina;1;1;Honduras;2293130;14.84445;-89.13461;11;11;2013;bh-S;Bosque Humedo Subtropical;bh-S - Bosque Húmedo Subtropical;599
Hylocichla mustelina;2;1;Belize;2021318;17.09774;-88.97438;24;12;2012;bh-S;Bosque Humedo Subtropical;bh-S - Bosque Húmedo Subtropical;231
Hylocichla mustelina;1;1;Costa Rica;744883;10.46569;-84.75506;13;11;2013;n/d;n/d;n/d - n/d;605
Hylocichla mustelina;1;1;Guatemala;2148399;14.45346;-90.74072;27;4;2013;bh-MBS;Bosque Humedo Montano Bajo Subtropical;bh-MBS - Bosque Húmedo Montano Bajo Subtropical;2844
Hylocichla mustelina;2;1;Belize;1739069;16.73326;-88.98583;14;3;2014;bh-S;Bosque Humedo Subtropical;bh-S - Bosque Húmedo Subtropical;588
Hylocichla mustelina;1;1;Honduras;1286856;15.49464;-87.95449;3;1;2009;bs-T;Bosque Seco Tropical;bs-T - Bosque Seco Tropical;56
Hylocichla mustelina;2;1;Belize;3138560;17.75217;-88.65409;3;4;2015;bh-S;Bosque Humedo Subtropical;bh-S - Bosque Húmedo Subtropical;8
Hylocichla mustelina;2;1;Belize;3138560;17.75217;-88.65409;3;4;2015;bh-S;Bosque Humedo Subtropical;bh-S - Bosque Húmedo Subtropical;8
Hylocichla mustelina;5;1;Belize;877352;16.16691;-88.8112;17;3;2013;bmh-S;Bosque Muy Humedo Suptropical;bmh-S - Bosque Muy Humedo Suptropical;46
Hylocichla mustelina;1;1;Costa Rica;436220;10.27198;-84.52401;9;2;2014;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;483
Hylocichla mustelina;1;1;Costa Rica;436220;10.27198;-84.52401;9;2;2014;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;483
Hylocichla mustelina;2;1;Costa Rica;4105341;10.68702;-84.18055;30;12;2015;bmh-T;Bosque Muy Humedo Tropical;bmh-T - Bosque Muy Humedo Tropical;57
Hylocichla mustelina;1;1;Costa Rica;468901;9.83193;-83.5638;25;3;2014;bmh-P;Bosque Muy Humedo Premontano;bmh-P - Bosque Muy Humedo Premontano;963
Hylocichla mustelina;1;1;Costa Rica;3486313;10.43035;-84.00705;14;3;2015;bmh-P;Bosque Muy Humedo Premontano;bmh-P - Bosque Muy Humedo Premontano;63
Hylocichla mustelina;2;1;Costa Rica;3486313;10.43035;-84.00705;12;3;2015;bmh-P;Bosque Muy Humedo Premontano;bmh-P - Bosque Muy Humedo Premontano;63
Hylocichla mustelina;1;1;Costa Rica;436930;10.30386;-84.81654;10;2;2013;bmh-P;Bosque Muy Humedo Premontano;bmh-P - Bosque Muy Humedo Premontano;1318
Hylocichla mustelina;1;1;Costa Rica;501858;9.55054;-83.80751;25;3;2015;bmh-MB;Bosque Muy Humedo Montano Bajo;bmh-MB - Bosque Muy Húmedo Montano Bajo;2200
Hylocichla mustelina;4;1;Guatemala;2262354;15.6092;-90.38343;22;9;2013;bmh-S;Bosque Muy Humedo Suptropical;bmh-S - Bosque Muy Humedo Suptropical;875
Hylocichla mustelina;4;1;Guatemala;1012123;17.22634;-89.61174;28;10;2016;bh-S;Bosque Humedo Subtropical;bh-S - Bosque Húmedo Subtropical;239
